,Tweet,tokenization,filter_tokens,normalized,stemmed
72,rt halonaa pegal lesu butuh pijat traditional plus bo dan berada di kota tendean now ready now start hub,"['rt', 'halonaa', 'pegal', 'lesu', 'butuh', 'pijat', 'traditional', 'plus', 'bo', 'dan', 'berada', 'di', 'kota', 'tendean', 'now', 'ready', 'now', 'start', 'hub']","['halonaa', 'pegal', 'lesu', 'butuh', 'pijat', 'traditional', 'plus', 'bo', 'kota', 'tendean', 'now', 'ready', 'now', 'start', 'hub']","['halonaa', 'pegal', 'lesu', 'butuh', 'pijat', 'traditional', 'plus', 'bo', 'kota', 'tendean', 'now', 'ready', 'now', 'start', 'hub']","['halonaa', 'pegal', 'lesu', 'butuh', 'pijat', 'traditional', 'plus', 'bo', 'kota', 'tendean', 'now', 'ready', 'now', 'start', 'hub']"
73,rt march jakarta indonesia tickets info,"['rt', 'march', 'jakarta', 'indonesia', 'tickets', 'info']","['march', 'jakarta', 'indonesia', 'tickets', 'info']","['march', 'jakarta', 'indonesia', 'tickets', 'info']","['march', 'jakarta', 'indonesia', 'tickets', 'info']"
74,nts ciao nctzen mau jin nct wayv yg trusted rate rendah amp admin ramah disini tempatnyaa rate cuma amp jakarta timur member aktif can personal order amp many testi link di rep,"['nts', 'ciao', 'nctzen', 'mau', 'jin', 'nct', 'wayv', 'yg', 'trusted', 'rate', 'rendah', 'amp', 'admin', 'ramah', 'disini', 'tempatnyaa', 'rate', 'cuma', 'amp', 'jakarta', 'timur', 'member', 'aktif', 'can', 'personal', 'order', 'amp', 'many', 'testi', 'link', 'di', 'rep']","['nts', 'ciao', 'nctzen', 'jin', 'nct', 'wayv', 'trusted', 'rate', 'rendah', 'admin', 'ramah', 'tempatnyaa', 'rate', 'jakarta', 'timur', 'member', 'aktif', 'can', 'personal', 'order', 'many', 'testi', 'link', 'rep']","['nts', 'ciao', 'nctzen', 'jin', 'nct', 'wayv', 'trusted', 'rate', 'rendah', 'admin', 'ramah', 'tempatnyaa', 'rate', 'jakarta', 'timur', 'member', 'aktif', 'can', 'personal', 'order', 'many', 'testi', 'link', 'rep']","['nts', 'ciao', 'nctzen', 'jin', 'nct', 'wayv', 'trusted', 'rate', 'rendah', 'admin', 'ramah', 'tempatnyaa', 'rate', 'jakarta', 'timur', 'member', 'aktif', 'can', 'personal', 'order', 'many', 'testi', 'link', 'rep']"
75,saya tidak ingin pelayanan rumah sakit untuk prajurit tidak maksimal jangan biarkan prajurit merasa sendirian kata pak moel saat bertemu asosiasi rumah sakit kemhan tnipolri di gedung bina graha jakarta moeldoko,"['saya', 'tidak', 'ingin', 'pelayanan', 'rumah', 'sakit', 'untuk', 'prajurit', 'tidak', 'maksimal', 'jangan', 'biarkan', 'prajurit', 'merasa', 'sendirian', 'kata', 'pak', 'moel', 'saat', 'bertemu', 'asosiasi', 'rumah', 'sakit', 'kemhan', 'tnipolri', 'di', 'gedung', 'bina', 'graha', 'jakarta', 'moeldoko']","['pelayanan', 'rumah', 'sakit', 'prajurit', 'maksimal', 'biarkan', 'prajurit', 'moel', 'bertemu', 'asosiasi', 'rumah', 'sakit', 'kemhan', 'tnipolri', 'gedung', 'bina', 'graha', 'jakarta', 'moeldoko']","['pelayanan', 'rumah', 'sakit', 'prajurit', 'maksimal', 'biarkan', 'prajurit', 'moel', 'bertemu', 'asosiasi', 'rumah', 'sakit', 'kemhan', 'tnipolri', 'gedung', 'bina', 'graha', 'jakarta', 'moeldoko']","['layan', 'rumah', 'sakit', 'prajurit', 'maksimal', 'biar', 'prajurit', 'moel', 'temu', 'asosiasi', 'rumah', 'sakit', 'kemhan', 'tnipolri', 'gedung', 'bina', 'graha', 'jakarta', 'moeldoko']"
76,rt lestari itu hanya berjarak hari dari edy prasetyo berungkap tanya ternyata gubernur telah bertemu dengan perwakilan tujuh,"['rt', 'lestari', 'itu', 'hanya', 'berjarak', 'hari', 'dari', 'edy', 'prasetyo', 'berungkap', 'tanya', 'ternyata', 'gubernur', 'telah', 'bertemu', 'dengan', 'perwakilan', 'tujuh']","['lestari', 'berjarak', 'edy', 'prasetyo', 'berungkap', 'gubernur', 'bertemu', 'perwakilan', 'tujuh']","['lestari', 'berjarak', 'edy', 'prasetyo', 'berungkap', 'gubernur', 'bertemu', 'perwakilan', 'tujuh']","['lestari', 'jarak', 'edy', 'prasetyo', 'ungkap', 'gubernur', 'temu', 'wakil', 'tujuh']"
77,lowongan jaga cafe di di jakarta utara,"['lowongan', 'jaga', 'cafe', 'di', 'di', 'jakarta', 'utara']","['lowongan', 'jaga', 'cafe', 'jakarta', 'utara']","['lowongan', 'jaga', 'cafe', 'jakarta', 'utara']","['lowong', 'jaga', 'cafe', 'jakarta', 'utara']"
78,cari tanah kavling untuk bangun kebun buah dijual cepat hubungi di jual kavling tanah di kavling desa wisata kebun buah saung estetik dekat jakarta,"['cari', 'tanah', 'kavling', 'untuk', 'bangun', 'kebun', 'buah', 'dijual', 'cepat', 'hubungi', 'di', 'jual', 'kavling', 'tanah', 'di', 'kavling', 'desa', 'wisata', 'kebun', 'buah', 'saung', 'estetik', 'dekat', 'jakarta']","['cari', 'tanah', 'kavling', 'bangun', 'kebun', 'buah', 'dijual', 'cepat', 'hubungi', 'jual', 'kavling', 'tanah', 'kavling', 'desa', 'wisata', 'kebun', 'buah', 'saung', 'estetik', 'jakarta']","['cari', 'tanah', 'kavling', 'bangun', 'kebun', 'buah', 'dijual', 'cepat', 'hubungi', 'jual', 'kavling', 'tanah', 'kavling', 'desa', 'wisata', 'kebun', 'buah', 'saung', 'estetik', 'jakarta']","['cari', 'tanah', 'kavling', 'bangun', 'kebun', 'buah', 'jual', 'cepat', 'hubung', 'jual', 'kavling', 'tanah', 'kavling', 'desa', 'wisata', 'kebun', 'buah', 'saung', 'estetik', 'jakarta']"
79,rt terjadi kebakaran pd apartemen palazo pkl di jl apron kel kebon kosong kec kemayoran titik kenal polsek kemay,"['rt', 'terjadi', 'kebakaran', 'pd', 'apartemen', 'palazo', 'pkl', 'di', 'jl', 'apron', 'kel', 'kebon', 'kosong', 'kec', 'kemayoran', 'titik', 'kenal', 'polsek', 'kemay']","['kebakaran', 'pd', 'apartemen', 'palazo', 'pkl', 'jl', 'apron', 'kel', 'kebon', 'kosong', 'kec', 'kemayoran', 'titik', 'kenal', 'polsek', 'kemay']","['kebakaran', 'pd', 'apartemen', 'palazo', 'pkl', 'jalan', 'apron', 'kel', 'kebon', 'kosong', 'kec', 'kemayoran', 'titik', 'kenal', 'polsek', 'kemay']","['bakar', 'pd', 'apartemen', 'palazo', 'pkl', 'jalan', 'apron', 'kel', 'kebon', 'kosong', 'kec', 'mayor', 'titik', 'kenal', 'polsek', 'kemay']"
80,rt teroris sumbar bersenjatakan golok sudah memasuki jakarta mau gulingkan kekuasaan jokowi drama anak negeri kian luc,"['rt', 'teroris', 'sumbar', 'bersenjatakan', 'golok', 'sudah', 'memasuki', 'jakarta', 'mau', 'gulingkan', 'kekuasaan', 'jokowi', 'drama', 'anak', 'negeri', 'kian', 'luc']","['teroris', 'sumbar', 'bersenjatakan', 'golok', 'memasuki', 'jakarta', 'gulingkan', 'kekuasaan', 'jokowi', 'drama', 'anak', 'negeri', 'kian', 'luc']","['teroris', 'sumbar', 'bersenjatakan', 'golok', 'memasuki', 'jakarta', 'gulingkan', 'kekuasaan', 'jokowi', 'drama', 'anak', 'negeri', 'kian', 'luc']","['teroris', 'sumbar', 'senjata', 'golok', 'pasuk', 'jakarta', 'guling', 'kuasa', 'jokowi', 'drama', 'anak', 'negeri', 'kian', 'luc']"
81,rt menjelang natal di jkt slm tiga hari membuat pagelaran christmas carol di bulan ramadhan pesan gubernur dki jakarta,"['rt', 'menjelang', 'natal', 'di', 'jkt', 'slm', 'tiga', 'hari', 'membuat', 'pagelaran', 'christmas', 'carol', 'di', 'bulan', 'ramadhan', 'pesan', 'gubernur', 'dki', 'jakarta']","['menjelang', 'natal', 'jkt', 'slm', 'pagelaran', 'christmas', 'carol', 'ramadhan', 'pesan', 'gubernur', 'dki', 'jakarta']","['menjelang', 'natal', 'jakarta', 'slm', 'pagelaran', 'christmas', 'carol', 'ramadhan', 'pesan', 'gubernur', 'dki', 'jakarta']","['jelang', 'natal', 'jakarta', 'slm', 'pagelaran', 'christmas', 'carol', 'ramadhan', 'pesan', 'gubernur', 'dki', 'jakarta']"
